,Rating,Reviews,Sentiment,Confidence
0,1, Returning due to spout breaking as soon as opened ,NEGATIVE,0.9999533891677856
1,1, This does not keep your drink cold for long at all. I would return if I still had the box. ,NEGATIVE,0.9998965263366699
2,1, Flask did nothing you said it would. Water was room temperature in no time. Lid was on when I did the testing. ,NEGATIVE,0.9993070363998413
3,1, I thought the cup was awesome worked great kept my ice water nice & cold didn't leak. But then after using it for a short time I noticed rust spots on the inside. And I could not get them to come off. I was able to return it & get another one but after using the second for less than a week I noticed spots on the inside of it as well. I decided to return it as well & just get my money back. I was very disappointed because other than the problem of it rusting I absolutely love it. Just wish it would have worked out. ,NEGATIVE,0.9996403455734253
4,1, My friend had a hydra flax I liked it so I tried this version and was not very pleased what so ever in comparison. Please try harder ,NEGATIVE,0.999902606010437
5,1, I initially loved this bottle and thought it was so cute. I purchased the paracord handle and rubber boot for the bottom. Unfortunately it was dropped less than a foot height from my daughter and landed upright. The bottle exterior has cracked from a short fall with the protective boot on it. This has never happened before and I am disappointed to say the least. ,NEGATIVE,0.9842644333839417
6,1, Didn’t keep liquids cold or hot for very long. It was pretty though. ,NEGATIVE,0.9998171925544739
7,1, The flusk is made of low quality material. Rust became visible after a few times (photo attached) used and customer service came back telling us is a “stubborn spot” which is a very interesting way of rephrasing the word rust. ,NEGATIVE,0.9999979734420776
8,1, the bottle makes the drink have a metallic taste and smell. i no longer want to drink from this bottle due to the health concerns. customer service is horrible and they will not follow their own policies. ,NEGATIVE,0.999994158744812
9,1, Dents very easily ruined the whole cup. ,NEGATIVE,0.9999825954437256
10,1, It had dent on it🥴 ,NEGATIVE,0.9999464750289917
11,1, Ordered in October but gifted to my kids for Christmas. It’s now February and my oldest daughter can’t use her cup anymore. It fell off her school desk onto a carpeted floor and the lid shifted to a point where it no longer opens. My husband has tried everything to open it and nothing will work. Going to have to toss it at this point. Daughter has no cup for school now. ,NEGATIVE,0.9998711347579956
12,1, Love the straw feature easy to drink from and super cute ,POSITIVE,0.9994664788246155
13,1, Cannot retain heat ,NEGATIVE,0.9999896287918091
14,1, This doesn't hold the heat or cold for more than a couple of hours. Disappointing ,NEGATIVE,0.9999886751174927
